utc,elapsed_s,x_m,y_m,z_m
2027-04-01T00:00:00.000Z,0.0,6510319.215,2369562.410,0.000
2027-04-01T00:01:00.000Z,60.0,6402650.457,2621631.140,363200.742
2027-04-01T00:02:00.000Z,120.0,6267325.914,2862375.935,724828.156
2027-04-01T00:03:00.000Z,180.0,6104930.945,3090757.304,1083316.034
2027-04-01T00:04:00.000Z,240.0,5916168.290,3305789.476,1437111.952
2027-04-01T00:05:00.000Z,300.0,5701854.950,3506544.681,1784684.069
2027-04-01T00:06:00.000Z,360.0,5462918.549,3692157.176,2124527.825
2027-04-01T00:07:00.000Z,420.0,5200393.214,3861826.972,2455172.504
2027-04-01T00:08:00.000Z,480.0,4915414.978,4014823.267,2775187.627
2027-04-01T00:09:00.000Z,540.0,4609216.747,4150487.555,3083189.146
2027-04-01T00:10:00.000Z,600.0,4283122.853,4268236.407,3377845.421
2027-04-01T00:11:00.000Z,660.0,3938543.218,4367563.913,3657882.937
2027-04-01T00:12:00.000Z,720.0,3576967.169,4448043.779,3922091.751
2027-04-01T00:13:00.000Z,780.0,3199956.933,4509331.065,4169330.642
2027-04-01T00:14:00.000Z,840.0,2809140.837,4551163.575,4398531.952
2027-04-01T00:15:00.000Z,900.0,2406206.257,4573362.882,4608706.080
2027-04-01T00:16:00.000Z,960.0,1992892.344,4575835.001,4798945.646
2027-04-01T00:17:00.000Z,1020.0,1570982.549,4558570.704,4968429.287
2027-04-01T00:18:00.000Z,1080.0,1142297.001,4521645.481,5116425.082
2027-04-01T00:19:00.000Z,1140.0,708684.749,4465219.153,5242293.597
2027-04-01T00:20:00.000Z,1200.0,272015.905,4389535.142,5345490.551
2027-04-01T00:21:00.000Z,1260.0,-165826.282,4294919.400,5425569.077
2027-04-01T00:22:00.000Z,1320.0,-602953.385,4181779.012,5482181.589
2027-04-01T00:23:00.000Z,1380.0,-1037479.783,4050600.461,5515081.250
2027-04-01T00:24:00.000Z,1440.0,-1467530.618,3901947.591,5524123.026
2027-04-01T00:25:00.000Z,1500.0,-1891249.717,3736459.249,5509264.335
2027-04-01T00:26:00.000Z,1560.0,-2306807.442,3554846.628,5470565.284
2027-04-01T00:27:00.000Z,1620.0,-2712408.446,3357890.315,5408188.493
2027-04-01T00:28:00.000Z,1680.0,-3106299.301,3146437.057,5322398.505
2027-04-01T00:29:00.000Z,1740.0,-3486775.988,2921396.245,5213560.777
2027-04-01T00:30:00.000Z,1800.0,-3852191.196,2683736.143,5082140.265
2027-04-01T00:31:00.000Z,1860.0,-4200961.423,2434479.849,4928699.589
2027-04-01T00:32:00.000Z,1920.0,-4531573.849,2174701.025,4753896.787
2027-04-01T00:33:00.000Z,1980.0,-4842592.935,1905519.391,4558482.667
2027-04-01T00:34:00.000Z,2040.0,-5132666.740,1628096.004,4343297.748
2027-04-01T00:35:00.000Z,2100.0,-5400532.909,1343628.343,4109268.809
2027-04-01T00:36:00.000Z,2160.0,-5645024.320,1053345.201,3857405.047
2027-04-01T00:37:00.000Z,2220.0,-5865074.339,758501.424,3588793.860
2027-04-01T00:38:00.000Z,2280.0,-6059721.673,460372.504,3304596.257
2027-04-01T00:39:00.000Z,2340.0,-6228114.780,160249.045,3006041.929
2027-04-01T00:40:00.000Z,2400.0,-6369515.817,-140568.856,2694423.974
2027-04-01T00:41:00.000Z,2460.0,-6483304.095,-440777.311,2371093.317
2027-04-01T00:42:00.000Z,2520.0,-6568979.018,-739074.381,2037452.840
2027-04-01T00:43:00.000Z,2580.0,-6626162.485,-1034165.831,1694951.247
2027-04-01T00:44:00.000Z,2640.0,-6654600.741,-1324770.881,1345076.690
2027-04-01T00:45:00.000Z,2700.0,-6654165.655,-1609627.905,989350.191
2027-04-01T00:46:00.000Z,2760.0,-6624855.416,-1887500.064,629318.897
2027-04-01T00:47:00.000Z,2820.0,-6566794.639,-2157180.834,266549.185
2027-04-01T00:48:00.000Z,2880.0,-6480233.881,-2417499.399,-97380.326
2027-04-01T00:49:00.000Z,2940.0,-6365548.560,-2667325.891,-460885.831
2027-04-01T00:50:00.000Z,3000.0,-6223237.287,-2905576.428,-822385.427
2027-04-01T00:51:00.000Z,3060.0,-6053919.614,-3131217.939,-1180306.184
2027-04-01T00:52:00.000Z,3120.0,-5858333.223,-3343272.752,-1533091.174
2027-04-01T00:53:00.000Z,3180.0,-5637330.557,-3540822.902,-1879206.408
2027-04-01T00:54:00.000Z,3240.0,-5391874.927,-3723014.164,-2217147.656
2027-04-01T00:55:00.000Z,3300.0,-5123036.108,-3889059.769,-2545447.106
2027-04-01T00:56:00.000Z,3360.0,-4831985.460,-4038243.799,-2862679.833
2027-04-01T00:57:00.000Z,3420.0,-4519990.601,-4169924.243,-3167470.050
2027-04-01T00:58:00.000Z,3480.0,-4188409.657,-4283535.701,-3458497.098
2027-04-01T00:59:00.000Z,3540.0,-3838685.139,-4378591.730,-3734501.168
2027-04-01T01:00:00.000Z,3600.0,-3472337.456,-4454686.822,-3994288.715
2027-04-01T01:01:00.000Z,3660.0,-3090958.134,-4511498.013,-4236737.551
2027-04-01T01:02:00.000Z,3720.0,-2696202.740,-4548786.119,-4460801.590
2027-04-01T01:03:00.000Z,3780.0,-2289783.578,-4566396.600,-4665515.244
2027-04-01T01:04:00.000Z,3840.0,-1873462.174,-4564260.052,-4849997.438
2027-04-01T01:05:00.000Z,3900.0,-1449041.592,-4542392.337,-5013455.243
2027-04-01T01:06:00.000Z,3960.0,-1018358.618,-4500894.345,-5155187.121
2027-04-01T01:07:00.000Z,4020.0,-583275.834,-4439951.410,-5274585.764
2027-04-01T01:08:00.000Z,4080.0,-145673.634,-4359832.367,-5371140.528
2027-04-01T01:09:00.000Z,4140.0,292557.812,-4260888.280,-5444439.462
2027-04-01T01:10:00.000Z,4200.0,729526.595,-4143550.832,-5494170.920
2027-04-01T01:11:00.000Z,4260.0,1163347.084,-4008330.396,-5520124.762
2027-04-01T01:12:00.000Z,4320.0,1592147.902,-3855813.794,-5522193.138
2027-04-01T01:13:00.000Z,4380.0,2014079.817,-3686661.751,-5500370.861
2027-04-01T01:14:00.000Z,4440.0,2427323.543,-3501606.061,-5454755.363
2027-04-01T01:15:00.000Z,4500.0,2830097.403,-3301446.465,-5385546.240
2027-04-01T01:16:00.000Z,4560.0,3220664.848,-3087047.265,-5293044.386
2027-04-01T01:17:00.000Z,4620.0,3597341.786,-2859333.670,-5177650.721
2027-04-01T01:18:00.000Z,4680.0,3958503.719,-2619287.902,-5039864.510
2027-04-01T01:19:00.000Z,4740.0,4302592.640,-2367945.057,-4880281.281
2027-04-01T01:20:00.000Z,4800.0,4628123.674,-2106388.754,-4699590.353
2027-04-01T01:21:00.000Z,4860.0,4933691.438,-1835746.559,-4498571.963
2027-04-01T01:22:00.000Z,4920.0,5217976.093,-1557185.236,-4278094.015
2027-04-01T01:23:00.000Z,4980.0,5479749.052,-1271905.799,-4039108.457
2027-04-01T01:24:00.000Z,5040.0,5717878.332,-981138.420,-3782647.281
2027-04-01T01:25:00.000Z,5100.0,5931333.516,-686137.188,-3509818.182
