"Time (EpSec)","x (m)","y (m)","z (m)","vx (m/sec)","vy (m/sec)","vz (m/sec)"
0.0,6510318.807,2369563.529,0.000,-1561.261165,4289.527503,6057.721141
60.0,6402737.057,2621442.810,363425.468,-2025.828496,4109.977549,6044.639898
120.0,6267529.582,2862013.661,725281.351,-2481.667071,3912.727290,6005.452668
180.0,6105279.037,3090240.068,1084004.841,-2926.810070,3698.627567,5940.328693
240.0,5916684.762,3305139.259,1438046.659,-3359.336764,3468.601776,5849.549236
300.0,5702559.769,3505785.939,1785877.747,-3777.380811,3223.641893,5733.506362
360.0,5463827.233,3691316.273,2125995.869,-4179.138306,2964.804188,5592.701243
420.0,5201516.518,3860931.605,2456932.100,-4562.875563,2693.204680,5427.741998
480.0,4916758.735,4013901.897,2777257.171,-4926.936600,2410.014315,5239.341064
540.0,4610781.865,4149568.868,3085587.641,-5269.750285,2116.453925,5028.312119
600.0,4284905.463,4267348.832,3380591.872,-5589.837111,1813.788962,4795.566569
660.0,3940534.970,4366735.203,3660995.781,-5885.815588,1503.324045,4542.109611
720.0,3579155.646,4447300.680,3925588.340,-6156.408204,1186.397333,4269.035891
780.0,3202326.172,4508699.077,4173226.810,-6400.446934,864.374760,3977.524778
840.0,2811671.920,4550666.819,4402841.674,-6616.878289,538.644149,3668.835270
900.0,2408877.945,4573024.067,4613441.256,-6804.767858,210.609227,3344.300555
960.0,1995681.719,4575675.489,4804116.004,-6963.304346,-118.316421,3005.322254
1020.0,1573865.633,4558610.672,4974042.420,-7091.803076,-446.715445,2653.364370
1080.0,1145249.308,4521904.156,5122486.615,-7189.708945,-773.172836,2289.946962
1140.0,711681.750,4465715.110,5248807.477,-7256.598824,-1096.282025,1916.639580
1200.0,275033.368,4390286.646,5352459.445,-7292.183382,-1414.650942,1535.054489
1260.0,-162812.091,4295944.760,5432994.858,-7296.308344,-1726.908013,1146.839703
1320.0,-599965.670,4183096.932,5490065.896,-7268.955157,-2031.708069,753.671871
1380.0,-1034541.353,4052230.355,5523426.077,-7210.241071,-2327.738145,357.249031
