"Time (EpSec)","x (m)","y (m)","z (m)","vx (m/sec)","vy (m/sec)","vz (m/sec)"
0.0,6510318.807,2369563.529,0.000,-1561.261165,4289.527503,6057.721141
60.0,6402669.204,2621639.508,363201.928,-2025.768509,4109.983430,6044.656003
120.0,6267401.376,2862406.917,724837.167,-2481.537603,3912.710743,6005.516948
180.0,6105098.808,3090827.195,1083345.786,-2926.602463,3698.560388,5940.472803
240.0,5916461.598,3305915.039,1437181.339,-3359.043280,3468.456113,5849.804140
300.0,5702303.444,3506742.658,1784817.541,-3776.994702,3223.390483,5733.902062
360.0,5463548.126,3692443.772,2124754.846,-4178.653873,2964.420602,5593.266519
420.0,5201225.527,3862217.350,2455526.918,-4562.288217,2692.663549,5428.504148
480.0,4916467.189,4015331.066,2775706.954,-4926.242909,2409.291560,5240.325660
540.0,4610501.431,4151124.456,3083913.844,-5268.948012,2115.526975,5029.542773
600.0,4284648.051,4269011.768,3378818.121,-5588.925252,1812.636961,4797.064709
660.0,3940312.632,4368484.491,3659147.702,-5884.794391,1501.928050,4543.894272
720.0,3578980.484,4449113.543,3923693.371,-6155.279183,1184.740499,4271.123526
780.0,3202210.229,4510551.127,4171313.998,-6399.212878,862.442512,3979.929082
840.0,2811627.084,4552532.230,4400941.459,-6615.543258,536.424337,3671.567019
900.0,2408915.849,4574875.763,4611585.245,-6803.337170,208.092270,3347.367474
960.0,1995813.639,4577485.347,4802336.734,-6961.784556,-121.137413,3008.728896
1020.0,1574102.389,4560349.726,4972373.109,-7090.201945,-449.844564,2657.112019
1080.0,1145601.172,4523542.814,5120960.912,-7188.035404,-776.611289,2294.033561
1140.0,712158.348,4467223.380,5247459.200,-7254.862922,-1100.028063,1921.059677
1200.0,275643.595,4391634.360,5351322.317,-7290.396236,-1418.699812,1539.799209
1260.0,-162060.160,4297101.813,5432102.246,-7294.482071,-1731.251931,1151.896742
1320.0,-599064.861,4184033.507,5489450.537,-7267.102803,-2036.336211,759.025513
1380.0,-1033485.466,4052917.169,5523119.816,-7208.376533,-2332.636655,362.880190
1440.0,-1463448.082,3904318.376,5532964.849,-7118.556581,-2618.875157,-34.830435
1500.0,-1887098.043,3738878.116,5518943.169,-6998.030388,-2893.817014,-432.390816
1560.0,-2302607.914,3557310.023,5481115.259,-6847.317851,-3156.276251,-828.086059
1620.0,-2708185.375,3360397.300,5419644.292,-6667.069075,-3405.120736,-1220.209313
1680.0,-3102080.946,3148989.340,5334795.426,-6458.061572,-3639.277067,-1607.069134
1740.0,-3482595.540,2923998.061,5226934.659,-6221.196907,-3857.735200,-1986.996784
1800.0,-3848087.789,2686393.974,5096527.256,-5957.496805,-4059.552804,-2358.353427
1860.0,-4196981.124,2437201.996,4944135.735,-5668.098752,-4243.859330,-2719.537197
1920.0,-4527770.577,2177497.029,4770417.443,-5354.251079,-4409.859762,-3068.990112
1980.0,-4839029.270,1908399.323,4576121.724,-5017.307583,-4556.838049,-3405.204788
2040.0,-5129414.576,1631069.643,4362086.681,-4658.721687,-4684.160194,-3726.730948
2100.0,-5397673.903,1346704.264,4129235.565,-4280.040168,-4791.276986,-4032.181673
2160.0,-5642650.100,1056529.812,3878572.791,-3882.896488,-4877.726372,-4320.239386
2220.0,-5863286.452,761797.967,3611179.604,-3469.003745,-4943.135447,-4589.661536
2280.0,-6058631.232,463780.069,3328209.418,-3040.147285,-4987.222067,-4839.285957
2340.0,-6227841.812,163761.633,3030882.839,-2598.177003,-5009.796062,-5068.035884
2400.0,-6370188.293,-136963.197,2720482.399,-2144.999357,-5010.760059,-5274.924591
2460.0,-6485056.657,-437097.229,2398347.027,-1682.569152,-4990.109897,-5459.059654
2520.0,-6571951.413,-735345.821,2065866.267,-1212.881104,-4947.934654,-5619.646797
2580.0,-6630497.738,-1030422.463,1724474.293,-737.961233,-4884.416255,-5755.993321
2640.0,-6660443.088,-1321054.327,1375643.715,-259.858131,-4799.828688,-5867.511088
2700.0,-6661658.292,-1605987.760,1020879.231,219.365882,-4694.536826,-5953.719060
2760.0,-6634138.110,-1883993.686,661711.135,697.643649,-4568.994851,-6014.245375
2820.0,-6578001.249,-2153872.914,299688.716,1172.912096,-4423.744295,-6048.828950
2880.0,-6493489.861,-2414461.306,-63626.426,1643.121130,-4259.411703,-6057.320607
2940.0,-6380968.488,-2664634.802,-426667.111,2106.242482,-4076.705931,-6039.683717
3000.0,-6240922.497,-2903314.265,-787867.347,2560.278453,-3876.415089,-5995.994358
3060.0,-6073955.983,-3129470.142,-1145669.079,3003.270539,-3659.403143,-5926.440985
3120.0,-5880789.164,-3342126.897,-1498528.912,3433.307872,-3426.606183,-5831.323620
3180.0,-5662255.276,-3540367.225,-1844924.767,3848.535464,-3179.028391,-5711.052558
3240.0,-5419296.973,-3723336.006,-2183362.450,4247.162211,-2917.737705,-5566.146592
3300.0,-5152962.270,-3890243.997,-2512382.093,4627.468617,-2643.861215,-5397.230782
3360.0,-4864400.013,-4040371.231,-2830564.453,4987.814212,-2358.580301,-5205.033755
3420.0,-4554854.930,-4173070.127,-3136537.035,5326.644628,-2063.125537,-4990.384561
3480.0,-4225662.259,-4287768.282,-3428980.013,5642.498303,-1758.771380,-4754.209101
3540.0,-3878241.987,-4383970.940,-3706631.918,5934.012787,-1446.830677,-4497.526129
3600.0,-3514092.731,-4461263.126,-3968295.086,6199.930618,-1128.649000,-4221.442858
3660.0,-3134785.264,-4519311.436,-4212840.821,6439.104747,-805.598840,-3927.150189
3720.0,-2741955.749,-4557865.477,-4439214.261,6650.503485,-479.073691,-3615.917566
3780.0,-2337298.674,-4576758.943,-4646438.935,6833.214951,-150.482034,-3289.087507
3840.0,-1922559.548,-4575910.337,-4833620.968,6986.451013,178.758735,-2948.069809
3900.0,-1499527.367,-4555323.319,-4999952.943,7109.550679,507.228419,-2594.335468
3960.0,-1070026.902,-4515086.692,-5144717.377,7201.982951,833.510149,-2229.410335
4020.0,-635910.824,-4455374.019,-5267289.822,7263.349120,1156.196492,-1854.868532
4080.0,-199051.714,-4376442.873,-5367141.556,7293.384479,1473.895526,-1472.325663
4140.0,238666.015,-4278633.728,-5443841.864,7291.959470,1785.236839,-1083.431846
4200.0,675354.247,-4162368.489,-5497059.895,7259.080238,2088.877446,-689.864593
4260.0,1109129.306,-4028148.670,-5526566.091,7194.888610,2383.507579,-293.321576
4320.0,1538120.081,-3876553.236,-5532233.176,7099.661481,2667.856336,104.486698
4380.0,1960476.101,-3708236.102,-5514036.703,6973.809616,2940.697165,501.844264
4440.0,2374375.511,-3523923.310,-5472055.165,6817.875884,3200.853153,897.037101
4500.0,2778032.937,-3324409.904,-5406469.650,6632.532913,3447.202106,1288.360524
4560.0,3169707.183,-3110556.494,-5317563.066,6418.580189,3678.681385,1674.126541
4620.0,3547708.743,-2883285.547,-5205718.915,6176.940606,3894.292492,2052.671132
4680.0,3910407.089,-2643577.407,-5071419.642,5908.656490,4093.105380,2422.361426
4740.0,4256237.703,-2392466.068,-4915244.553,5614.885096,4274.262458,2781.602746
4800.0,4583708.829,-2131034.710,-4737867.318,5296.893623,4436.982297,3128.845488
4860.0,4891407.904,-1860411.030,-4540053.062,4956.053741,4580.562997,3462.591802
4920.0,5178007.653,-1581762.377,-4322655.066,4593.835680,4704.385216,3781.402058
4980.0,5442271.814,-1296290.715,-4086611.087,4211.801885,4807.914841,4083.901053
5040.0,5683060.471,-1005227.439,-3832939.313,3811.600278,4890.705290,4368.783941
5100.0,5899334.969,-709828.066,-3562733.968,3394.957148,4952.399445,4634.821867
5160.0,6090162.400,-411366.816,-3277160.597,2963.669705,4992.731184,4880.867264
5220.0,6254719.619,-111131.114,-2977451.034,2519.598329,5011.526533,5105.858803
5280.0,6392296.800,189583.957,-2664898.091,2064.658542,5008.704419,5308.825971
5340.0,6502300.498,489481.248,-2340849.981,1600.812751,4984.277015,5488.893259
5400.0,6584256.206,787267.139,-2006704.500,1130.061775,4938.349690,5645.283940
5460.0,6637810.405,1081657.114,-1663903.002,654.436224,4871.120553,5777.323414
5520.0,6662732.086,1371381.308,-1313924.178,175.987730,4782.879600,5884.442122
5580.0,6658913.748,1655189.983,-958277.677,-303.219896,4674.007464,5966.178003
5640.0,6626371.862,1931858.915,-598497.599,-781.119568,4544.973769,6022.178485
5700.0,6565246.798,2200194.679,-236135.873,-1255.649843,4396.335109,6052.202007
5760.0,6475802.222,2459039.797,127244.437,-1724.763811,4228.732643,6056.119061
5820.0,6358423.959,2707277.727,490075.872,-2186.437926,4042.889333,6033.912750
5880.0,6213618.324,2943837.683,850793.341,-2638.680736,3839.606823,5985.678864
5940.0,6042009.945,3167699.251,1207840.871,-3079.541467,3619.761983,5911.625461
6000.0,5844339.061,3377896.795,1559678.321,-3507.118446,3384.303123,5812.071973
6060.0,5621458.337,3573523.617,1904788.023,-3919.567300,3134.245907,5687.447830
6120.0,5374329.179,3753735.871,2241681.328,-4315.108909,2870.668968,5538.290605
6180.0,5104017.590,3917756.202,2568905.033,-4692.037086,2594.709260,5365.243693
6240.0,4811689.574,4064877.102,2885047.640,-5048.725932,2307.557146,5169.053542
6300.0,4498606.100,4194463.956,3188745.454,-5383.636854,2010.451273,4950.566427
6360.0,4166117.670,4305957.786,3478688.460,-5695.325196,1704.673220,4710.724802
6420.0,3815658.488,4398877.657,3753625.973,-5982.446476,1391.541977,4450.563237
6480.0,3448740.278,4472822.756,4012372.039,-6243.762182,1072.408249,4171.203951
6540.0,3066945.759,4527474.116,4253810.542,-6478.145116,748.648637,3873.851974
6600.0,2671921.821,4562595.997,4476900.026,-6684.584256,421.659692,3559.789948
6660.0,2265372.417,4578036.897,4680678.185,-6862.189116,92.851897,3230.372595
6720.0,1849051.219,4573730.213,4864266.010,-7010.193590,-236.356419,2887.020872
6780.0,1424754.049,4549694.521,5026871.588,-7127.959253,-564.545199,2531.215844
6840.0,994311.134,4506033.500,5167793.510,-7214.978117,-890.298787,2164.492294
6900.0,559579.208,4442935.484,5286423.903,-7270.874821,-1212.212028,1788.432101
6960.0,122433.511,4360672.650,5382251.050,-7295.408253,-1528.896333,1404.657419
7020.0,-315240.310,4259599.843,5454861.595,-7288.472587,-1838.985669,1014.823679
7080.0,-751554.326,4140153.044,5503942.329,-7250.097740,-2141.142451,620.612447
7140.0,-1184626.476,4002847.493,5529281.540,-7180.449243,-2434.063311,223.724174
7200.0,-1612588.681,3848275.466,5530769.926,-7079.827530,-2716.484720,-174.129145
7260.0,-2033594.908,3677103.714,5508401.067,-6948.666635,-2987.188441,-571.231349
7320.0,-2445829.123,3490070.598,5462271.452,-6787.532329,-3245.006779,-965.869519
7380.0,-2847513.136,3287982.891,5392580.063,-6597.119673,-3488.827622,-1356.341363
7440.0,-3236914.262,3071712.311,5299627.518,-6378.250019,-3717.599237,-1740.962564
7500.0,-3612352.801,2842191.750,5183814.772,-6131.867474,-3930.334808,-2118.074037
7560.0,-3972209.281,2600411.256,5045641.388,-5859.034820,-4126.116688,-2486.049095
7620.0,-4314931.442,2347413.763,4885703.385,-5560.928934,-4304.100362,-2843.300460
7680.0,-4639040.937,2084290.585,4704690.663,-5238.835711,-4463.518091,-3188.287109
7740.0,-4943139.703,1812176.719,4503384.028,-4894.144515,-4603.682217,-3519.520927
7800.0,-5225915.995,1532245.941,4282651.828,-4528.342189,-4723.988136,-3835.573120
7860.0,-5486150.045,1245705.745,4043446.200,-4143.006638,-4823.916902,-4135.080382
7920.0,-5722719.319,953792.136,3786798.971,-3739.800026,-4903.037468,-4416.750773
7980.0,-5934603.366,657764.299,3513817.199,-3320.461606,-4961.008543,-4679.369296
8040.0,-6120888.211,358899.164,3225678.407,-2886.800212,-4997.580067,-4921.803131
8100.0,-6280770.308,58485.899,2923625.494,-2440.686465,-5012.594285,-5143.006528
8160.0,-6413559.997,-242179.647,2608961.379,-1984.044699,-5005.986435,-5342.025317
8220.0,-6518684.482,-541800.540,2283043.383,-1518.844659,-4977.785018,-5518.001020
8280.0,-6595690.305,-839084.349,1947277.369,-1047.093009,-4928.111684,-5670.174557
8340.0,-6644245.296,-1132748.727,1603111.679,-570.824672,-4857.180700,-5797.889520
8400.0,-6664140.013,-1421526.939,1252030.888,-92.094055,-4765.298031,-5900.595005
8460.0,-6655288.637,-1704173.325,895549.401,387.033813,-4652.860016,-5977.847985
8520.0,-6617729.350,-1979468.676,535204.919,864.492193,-4520.351664,-6029.315228
8580.0,-6551624.165,-2246225.494,172551.804,1338.221544,-4368.344555,-6054.774727
8640.0,-6457258.231,-2503293.108,-190845.622,1806.178411,-4197.494380,-6054.116659
8700.0,-6335038.599,-2749562.645,-553419.826,2266.344239,-4008.538108,-6027.343865
8760.0,-6185492.470,-2983971.810,-913606.826,2716.734082,-3802.290811,-5974.571831
8820.0,-6009264.918,-3205509.468,-1269852.939,3155.405159,-3579.642149,-5896.028189
8880.0,-5807116.110,-3413220.004,-1620621.480,3580.465243,-3341.552526,-5792.051744
8940.0,-5579918.023,-3606207.450,-1964399.391,3990.080816,-3089.048953,-5663.091001
9000.0,-5328650.689,-3783639.345,-2299703.769,4382.484982,-2823.220618,-5509.702240
9060.0,-5054397.961,-3944750.328,-2625088.264,4755.985085,-2545.214183,-5332.547110
9120.0,-4758342.842,-4088845.437,-2939149.312,5108.970015,-2256.228843,-5132.389779
9180.0,-4441762.379,-4215303.114,-3240532.197,5439.917154,-1957.511150,-4910.093635
9240.0,-4106022.158,-4323577.875,-3527936.889,5747.398946,-1650.349637,-4666.617563
9300.0,-3752570.410,-4413202.672,-3800123.653,6030.089053,-1336.069261,-4403.011809
9360.0,-3382931.768,-4483790.905,-4055918.399,6286.768077,-1016.025685,-4120.413449
9420.0,-2998700.685,-4535038.088,-4294217.744,6516.328822,-691.599433,-3820.041486
9480.0,-2601534.560,-4566723.164,-4513993.771,6717.781065,-364.189933,-3503.191587
9540.0,-2193146.590,-4578709.457,-4714298.467,6890.255833,-35.209482,-3171.230502
9600.0,-1775298.375,-4570945.264,-4894267.807,7033.009147,293.922846,-2825.590159
9660.0,-1349792.324,-4543464.076,-5053125.485,7145.425233,621.787325,-2467.761496
9720.0,-918463.878,-4496384.435,-5190186.260,7227.019181,946.969693,-2099.288023
9780.0,-483173.594,-4429909.420,-5304858.914,7277.439029,1268.067261,-1721.759169
9840.0,-45799.117,-4344325.776,-5396648.801,7296.467291,1583.694960,-1336.803424
9900.0,391772.917,-4240002.672,-5465159.981,7284.021885,1892.491313,-946.081312
9960.0,827655.019,-4117390.109,-5510096.927,7240.156497,2193.124313,-551.278232
10020.0,1259966.992,-3977016.984,-5531265.802,7165.060341,2484.297165,-154.097186
10080.0,1686844.035,-3819488.803,-5528575.293,7059.057349,2764.753880,243.748565
10140.0,2106444.794,-3645485.071,-5502037.006,6922.604770,3033.284694,640.542895
10200.0,2516959.301,-3455756.362,-5451765.414,6756.291199,3288.731288,1034.574211
10260.0,2916616.782,-3251121.079,-5377977.367,6560.834036,3529.991779,1424.142842
10320.0,3303693.295,-3032461.928,-5280991.153,6337.076397,3756.025479,1807.568363
10380.0,3676519.166,-2800722.105,-5161225.127,6085.983470,3965.857380,2183.196851
10440.0,4033486.192,-2556901.230,-5019195.905,5808.638358,4158.582362,2549.408012
10500.0,4373054.579,-2302051.038,-4855516.137,5506.237401,4333.369097,2904.622178
10560.0,4693759.583,-2037270.836,-4670891.864,5180.085021,4489.463634,3247.307114
10620.0,4994217.827,-1763702.768,-4466119.472,4831.588093,4626.192650,3575.984634
10680.0,5273133.269,-1482526.882,-4242082.256,4462.249875,4742.966360,3889.236970
10740.0,5529302.794,-1194956.044,-3999746.612,4073.663524,4839.281054,4185.712893
10800.0,5761621.402,-902230.705,-3740157.866,3667.505228,4914.721273,4464.133540
10860.0,5969086.976,-605613.550,-3464435.768,3245.526969,4968.961603,4723.297929
10920.0,6150804.603,-306384.051,-3173769.657,2809.548972,5001.768075,4962.088143
10980.0,6305990.436,-5832.950,-2869413.336,2361.451849,5012.999177,5179.474149
11040.0,6433975.071,294743.311,-2552679.662,1903.168488,5002.606464,5374.518240
11100.0,6534206.442,594048.184,-2224934.879,1436.675717,4970.634764,5546.379086
11160.0,6606252.196,890790.600,-1887592.732,963.985776,4917.221989,5694.315356
11220.0,6649801.559,1183690.548,-1542108.361,487.137636,4842.598538,5817.688919
11280.0,6664666.680,1471484.589,-1189972.031,8.188203,4747.086303,5915.967599
11340.0,6650783.437,1752931.309,-832702.699,-470.796550,4631.097280,5988.727464
11400.0,6608211.716,2026816.676,-471841.463,-947.750499,4495.131793,6035.654662
11460.0,6537135.153,2291959.269,-108944.916,-1420.616280,4339.776337,6056.546770
11520.0,6437860.338,2547215.385,254421.570,-1887.354164,4165.701044,6051.313668
11580.0,6310815.500,2791483.964,616690.596,-2345.950853,3973.656798,6019.977931
11640.0,6156548.653,3023711.341,976299.497,-2794.428170,3764.471989,5962.674726
11700.0,5975725.233,3242895.791,1331697.084,-3230.851584,3539.048947,5879.651234
11760.0,5769125.231,3448091.853,1681350.329,-3653.338564,3298.360045,5771.265580
11820.0,5537639.827,3638414.403,2023750.989,-4060.066689,3043.443507,5637.985291
11880.0,5282267.545,3813042.475,2357422.100,-4449.281519,2775.398928,5480.385278
11940.0,5004109.944,3971222.804,2680924.356,-4819.304157,2495.382530,5299.145357
12000.0,4704366.872,4112273.069,2992862.314,-5168.538492,2204.602178,5095.047314
12060.0,4384331.284,4235584.844,3291890.416,-5495.478085,1904.312167,4868.971537
12120.0,4045383.670,4340626.218,3576718.788,-5798.712666,1595.807813,4621.893214
12180.0,3688986.097,4426944.090,3846118.809,-6076.934217,1280.419864,4354.878130
12240.0,3316675.902,4494166.123,4098928.410,-6328.942618,959.508762,4069.078068
12300.0,2930059.065,4542002.352,4334057.083,-6553.650816,634.458773,3765.725839
12360.0,2530803.276,4570246.433,4550490.591,-6750.089522,306.672014,3446.129968
